Place ID	Place Name	Place Owner	Location	Longitude	Latitude
15261	"Rosnashane", Reception Centre	Greater Geelong City	11 Aberdeen Street NEWTOWN, Greater Geelong City	144.3504410	-38.1473870
27183	"Royd Grange"	Greater Geelong City	2 Royd Grange Court Belmont, Greater Geelong City	144.3390010	-38.1694790
44407	"Rushbrooks"	Greater Geelong City	149-151 Pakington Street  Geelong West, Greater Geelong City	144.3481420	-38.1404720
16090	"Rushbrooks"	Greater Geelong City	149 Pakington  Street GEELONG WEST, Greater Geelong City	144.3481420	-38.1404720
16091	"Rushbrooks"	Greater Geelong City	1/149 Pakington  Street GEELONG WEST, Greater Geelong City	144.3481420	-38.1404720
16092	"Rushbrooks"	Greater Geelong City	149A Pakington  Street GEELONG WEST, Greater Geelong City	144.3481420	-38.1404720
16093	"Rushbrooks"	Greater Geelong City	149 Pakington  Street GEELONG WEST, Greater Geelong City	144.3481420	-38.1404720
15756	"Sarnia", residence	Greater Geelong City	266 Latrobe Terrace NEWTOWN, Greater Geelong City	144.3523067	-38.1489208
21323	"Shoubra", house including interior	Greater Geelong City	6 Keram Crescent HIGHTON, Greater Geelong City	144.3163520	-38.1732960
108353	"Sithney", 5 Burke Street, ST ARNAUD	Northern Grampians Shire	5 Burke Street ST ARNAUD, NORTHERN GRAMPIANS SHIRE	143.26185	-36.6186
21551	"Soho"	Greater Geelong City	1 Soho Road DRYSDALE, Greater Geelong City	144.6207640	-38.1804590
15757	"Somerset", Residence	Greater Geelong City	270 Latrobe Terrace NEWTOWN, Greater Geelong City	144.3521170	-38.1490220
26949	"South Barwon Reserve Memorial"	Greater Geelong City	137 Barwon Heads Road BELMONT, GREATER GEELONG CITY	144.3540548	-38.1819273
21515	"Spray Farm", homestead and stables including interior	Greater Geelong City	2261 Portarlington Rd BELLARINE, Greater Geelong City	144.6215021	-38.1305466
21385	"Springfield", Residence	Greater Geelong City	532 Bellarine Hwy LEOPOLD, Greater Geelong City	144.4394150	-38.1996370
21569	"St Albans" homestead including interior	Greater Geelong City	6 Homestead Drive WHITTINGTON, Greater Geelong City	144.3886820	-38.1887950
26668	"St Matthews Kindergarten"	Greater Geelong City	230 McKillop Street Geelong East, Greater Geelong City	144.3734000	-38.1580880
15753	"St. Leonards", Residence including interior	Greater Geelong City	262 (1) Latrobe Terrace GEELONG WEST, Greater Geelong City	144.3539485	-38.1392623
15754	"St. Leonards", Residence including interior	Greater Geelong City	262 (2) Latrobe Terrace NEWTOWN, Greater Geelong City	144.3539485	-38.1392623
21706	"Staughton Vale"	Greater Geelong City	750 Staughton Vale Rd STAUGHTON VALE, Greater Geelong City	144.2890794	-37.8288991
21688	"Suma Park", Residence	Greater Geelong City	2121 Bellarine Hwy MARCUS HILL, Greater Geelong City	144.5950006	-38.2536371
17823	"Tandarra"	Greater Geelong City	71 The Esplanade DRUMCONDRA, Greater Geelong City	144.3565430	-38.1290220
16470	"The Hawthornes" (Former Presbyterian Manse)	Greater Geelong City	1 Skene Street NEWTOWN, Greater Geelong City	144.3516540	-38.1490330
15390	"The Heights" Residence including interior	Greater Geelong City	140 Aphrasia Street NEWTOWN, Greater Geelong City	144.3304660	-38.1493560
16821	"Thuruna" , Residence	Greater Geelong City	17 Bell Parade DRUMCONDRA, Greater Geelong City	144.3538630	-38.1280010
21374	"Toongabbie" Residence	Greater Geelong City	161 Ash Road LEOPOLD, Greater Geelong City	144.4662296	-38.2031664
21480	"Toorang", homestead	Greater Geelong City	401 Melaluka Road LEOPOLD, Greater Geelong City	144.4506743	-38.2108652
15752	"Tooronga" Residence	Greater Geelong City	258 Latrobe Terrace NEWTOWN, Greater Geelong City	144.3522780	-38.1481750
15569	"Torbank", Residence	Greater Geelong City	39 Buckland Avenue NEWTOWN, Greater Geelong City	144.3479330	-38.1517440
15840	"Toren", house	Greater Geelong City	36 Laurel Bank Parade NEWTOWN, Greater Geelong City	144.3477060	-38.1504140
